index,name,seed,status,box_size,model1.intensity,model1.radius,model2.intensity,model2.min_r1,model2.max_r1,model3.intensity,model3.radius,n_points,n_final,n_removed_floaters,n_closed_voxels,n_filled_voxels,filler_fraction,phr,spheres_npz,voxel_npz
71,phr_40.46_id72,1071,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6735,1305,93,8214,0,0.17136378360868157,40.461297888975764,,
72,phr_50.12_id73,1072,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6809,1573,71,10478,0,0.20393366047183129,50.12153136509603,,
73,phr_34.95_id74,1073,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6704,1169,53,7142,0,0.1515435098201538,34.94559530382154,,
74,phr_46.31_id75,1074,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6782,1507,85,9595,0,0.19140001679684218,46.31193439424866,,
75,phr_54.01_id76,1075,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6799,1654,53,10633,0,0.21631933196559047,54.00585887187762,,
76,phr_47.95_id77,1076,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6562,1465,67,9712,0,0.19684299351721876,47.95171963929153,,
77,phr_41.02_id78,1077,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6765,1350,66,7808,0,0.17332741444608413,41.02214834229756,,
78,phr_45.41_id79,1078,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6686,1417,72,9262,0,0.18837258595384068,45.40939020745608,,
79,phr_39.90_id80,1079,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6714,1310,67,7770,0,0.16938815502685495,39.89969679182133,,
80,phr_36.77_id81,1080,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6737,1230,69,7143,0,0.15819425947921792,36.76745034849161,,
81,phr_58.06_id82,1081,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6716,1685,72,12431,0,0.2288409778961555,58.05966541585813,,
82,phr_41.04_id83,1082,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6749,1334,79,8300,0,0.17340340016076977,41.04390486479936,,
83,phr_37.07_id84,1083,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6667,1252,83,7165,0,0.159294052718089,37.07149664692714,,
84,phr_48.57_id85,1084,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6639,1499,64,9869,0,0.1988866093174483,48.573145734087966,,
85,phr_40.31_id86,1085,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6718,1296,77,8146,0,0.1708158866133167,40.30528204197995,,
86,phr_42.75_id87,1086,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6811,1387,82,8529,0,0.17933028590624964,42.75332656177102,,
87,phr_43.37_id88,1087,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6659,1377,92,8961,0,0.18144988742116483,43.37066770216682,,
88,phr_54.00_id89,1088,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6717,1648,56,10851,0,0.21629533647674237,53.99821483603049,,
89,phr_57.04_id90,1089,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6771,1713,80,11922,0,0.22573356209032702,57.041426549938926,,
90,phr_55.09_id91,1090,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6656,1620,85,11421,0,0.21972269213387882,55.094800195568155,,
91,phr_63.06_id92,1091,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6709,1782,66,13267,0,0.24373817722268212,63.05739996776508,,
92,phr_49.33_id93,1092,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6639,1535,62,10059,0,0.20137414166136766,49.333850356262474,,
93,phr_36.68_id94,1093,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6741,1216,69,7306,0,0.15787431962790996,36.67914963309907,,
94,phr_59.11_id95,1094,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6774,1757,68,11578,0,0.23200838242410426,59.1060414573325,,
95,phr_50.27_id96,1095,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6736,1573,96,10223,0,0.2044015725043692,50.26607724403028,,
96,phr_55.09_id97,1096,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6733,1684,81,10949,0,0.21969469739688938,55.08580423518233,,
97,phr_54.94_id98,1097,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6916,1650,88,11208,0,0.21923878310877554,54.93938939753744,,
98,phr_46.71_id99,1098,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6746,1439,87,9733,0,0.19273176642791157,46.71110235177425,,
99,phr_58.25_id100,1099,skipped,3.0,250.0,0.1,4.5,0.25,0.5,1.8,0.4,6742,1767,62,11709,0,0.22942486812479254,58.25191125632948,,
