name,phr,id,phi,partial_run,RF_sim,RF_sim_vs_E0,RF_guth_gold,RF_mori_tanaka,RF_sim/RF_gg,RF_sim/RF_mt
phr_29.96_id36_voxel_output,29.96,36,0.132791,True,1.3409,1.0843,1.5806,1.3606,0.8484,0.9855
phr_30.03_id58_voxel_output,30.03,58,0.133079,True,1.3754,1.1121,1.5824,1.3615,0.8692,1.0102
phr_30.69_id39_voxel_output,30.69,39,0.135603,True,1.3462,1.0886,1.5983,1.3694,0.8423,0.9830
phr_30.88_id12_voxel_output,30.88,12,0.136318,True,1.3506,1.0921,1.6028,1.3717,0.8427,0.9847
phr_31.04_id2_voxel_output,31.04,2,0.136934,True,1.3506,1.0921,1.6067,1.3736,0.8406,0.9833
phr_31.15_id7_voxel_output,31.15,7,0.137338,True,1.3427,1.0857,1.6093,1.3749,0.8343,0.9766
phr_31.19_id21_voxel_output,31.19,21,0.137506,True,1.3383,1.0821,1.6104,1.3754,0.8310,0.9730
phr_31.28_id9_voxel_output,31.28,9,0.137838,True,1.3365,1.0807,1.6125,1.3765,0.8288,0.9710
phr_31.37_id50_voxel_output,31.37,50,0.138186,True,1.3462,1.0886,1.6147,1.3776,0.8337,0.9772
phr_31.79_id16_voxel_output,31.79,16,0.139754,True,1.3754,1.1121,1.6248,1.3825,0.8465,0.9948
phr_32.02_id51_voxel_output,32.02,51,0.140650,True,1.3586,1.0986,1.6306,1.3854,0.8332,0.9807
phr_32.59_id13_voxel_output,32.59,13,0.142801,True,1.3630,1.1021,1.6445,1.3922,0.8288,0.9790
phr_32.61_id27_voxel_output,32.61,27,0.142849,True,1.3773,1.1125,1.6448,1.3924,0.8374,0.9892
phr_32.98_id34_voxel_output,32.98,34,0.144245,True,1.3833,1.1186,1.6540,1.3968,0.8364,0.9903
phr_33.11_id25_voxel_output,33.11,25,0.144725,True,1.3754,1.1121,1.6571,1.3983,0.8300,0.9836
phr_33.28_id52_voxel_output,33.28,52,0.145389,True,1.3860,1.1207,1.6615,1.4005,0.8342,0.9896
phr_34.31_id37_voxel_output,34.31,37,0.149184,True,1.4151,1.1443,1.6868,1.4127,0.8390,1.0017
phr_34.71_id38_voxel_output,34.71,38,0.150664,True,1.3886,1.1229,1.6967,1.4175,0.8184,0.9796
phr_34.95_id74_voxel_output,34.95,74,0.151544,True,1.4354,1.1607,1.7027,1.4203,0.8430,1.0106
phr_35.92_id47_voxel_output,35.92,47,0.155111,True,1.3983,1.1307,1.7270,1.4320,0.8097,0.9765
phr_36.02_id5_voxel_output,36.02,5,0.155471,True,1.3515,1.0929,1.7295,1.4332,0.7815,0.9430
phr_36.29_id55_voxel_output,36.29,55,0.156447,True,1.4028,1.1343,1.7362,1.4364,0.8079,0.9766
phr_36.50_id40_voxel_output,36.50,40,0.157230,True,1.4531,1.1750,1.7416,1.4390,0.8343,1.0098
phr_36.66_id26_voxel_output,36.66,26,0.157814,True,1.4602,1.1807,1.7457,1.4409,0.8364,1.0134
phr_36.68_id94_voxel_output,36.68,94,0.157874,True,1.4328,1.1586,1.7461,1.4411,0.8206,0.9942
phr_36.77_id81_voxel_output,36.77,81,0.158194,True,1.4407,1.1650,1.7483,1.4421,0.8241,0.9990
phr_36.87_id56_voxel_output,36.87,56,0.158558,True,1.4699,1.1886,1.7509,1.4433,0.8395,1.0184
phr_37.07_id84_voxel_output,37.07,84,0.159294,True,1.4699,1.1886,1.7560,1.4458,0.8371,1.0167
phr_37.17_id30_voxel_output,37.17,30,0.159638,True,1.4204,1.1486,1.7584,1.4469,0.8078,0.9817
phr_37.37_id35_voxel_output,37.37,35,0.160374,True,1.4602,1.1807,1.7636,1.4493,0.8280,1.0075
phr_37.49_id42_voxel_output,37.49,42,0.160810,True,1.4445,1.1743,1.7666,1.4508,0.8177,0.9957
phr_37.86_id32_voxel_output,37.86,32,0.162118,True,1.4600,1.1792,1.7759,1.4551,0.8221,1.0033
phr_38.12_id10_voxel_output,38.12,10,0.163069,True,1.4407,1.1650,1.7826,1.4583,0.8082,0.9879
phr_38.32_id59_voxel_output,38.32,59,0.163769,True,1.4831,1.2057,1.7876,1.4607,0.8297,1.0154
phr_38.55_id54_voxel_output,38.55,54,0.164605,True,1.4708,1.1893,1.7935,1.4635,0.8200,1.0050
phr_38.97_id46_voxel_output,38.97,46,0.166085,True,1.4876,1.2029,1.8041,1.4684,0.8245,1.0130
phr_39.24_id29_voxel_output,39.24,29,0.167041,True,1.4781,1.2003,1.8110,1.4716,0.8162,1.0044
phr_39.90_id80_voxel_output,39.90,80,0.169388,True,1.4778,1.1950,1.8280,1.4796,0.8084,0.9988
phr_40.31_id86_voxel_output,40.31,86,0.170816,True,1.4708,1.1893,1.8385,1.4844,0.8000,0.9908
phr_40.46_id72_voxel_output,40.46,72,0.171364,True,1.5079,1.2193,1.8425,1.4863,0.8184,1.0145
phr_40.66_id49_voxel_output,40.66,49,0.172044,True,1.5105,1.2214,1.8475,1.4886,0.8176,1.0147
phr_41.02_id78_voxel_output,41.02,78,0.173327,True,1.4849,1.2007,1.8569,1.4930,0.7997,0.9946
phr_41.04_id83_voxel_output,41.04,83,0.173403,True,1.5178,1.2259,1.8575,1.4932,0.8171,1.0165
phr_41.80_id41_voxel_output,41.80,41,0.176039,True,1.5874,1.2836,1.8771,1.5023,0.8457,1.0566
phr_42.34_id45_voxel_output,42.34,45,0.177895,True,1.4902,1.2050,1.8910,1.5087,0.7881,0.9878
phr_42.65_id53_voxel_output,42.65,53,0.178974,True,1.5308,1.2379,1.8991,1.5124,0.8061,1.0122
phr_42.75_id87_voxel_output,42.75,87,0.179330,True,1.4884,1.2036,1.9018,1.5136,0.7827,0.9833
phr_43.29_id48_voxel_output,43.29,48,0.181166,True,1.5697,1.2693,1.9157,1.5200,0.8194,1.0327
phr_43.37_id88_voxel_output,43.37,88,0.181450,True,1.5427,1.2460,1.9179,1.5210,0.8044,1.0142
phr_44.45_id67_voxel_output,44.45,67,0.185113,True,1.5706,1.2700,1.9459,1.5338,0.8071,1.0240
phr_44.75_id63_voxel_output,44.75,63,0.186161,True,1.5476,1.2514,1.9541,1.5375,0.7920,1.0066
phr_45.16_id71_voxel_output,45.16,71,0.187529,True,1.5257,1.2323,1.9647,1.5423,0.7766,0.9892
phr_45.41_id79_voxel_output,45.41,79,0.188373,True,1.5750,1.2736,1.9713,1.5453,0.7990,1.0192
phr_45.55_id62_voxel_output,45.55,62,0.188844,True,1.6395,1.3257,1.9749,1.5470,0.8301,1.0598
phr_45.97_id43_voxel_output,45.97,43,0.190240,True,1.5255,1.2336,1.9859,1.5520,0.7682,0.9830
phr_46.31_id75_voxel_output,46.31,75,0.191400,True,1.5874,1.2836,1.9950,1.5561,0.7957,1.0201
phr_46.71_id99_voxel_output,46.71,99,0.192732,True,1.6156,1.3120,2.0056,1.5609,0.8055,1.0351
phr_47.04_id68_voxel_output,47.04,68,0.193828,True,1.6254,1.3143,2.0143,1.5648,0.8069,1.0387
phr_47.31_id23_voxel_output,47.31,23,0.194727,True,1.6201,1.3100,2.0215,1.5680,0.8014,1.0332
phr_47.95_id77_voxel_output,47.95,77,0.196843,True,1.5476,1.2514,2.0384,1.5756,0.7592,0.9822
phr_48.36_id60_voxel_output,48.36,60,0.198195,True,1.6517,1.3413,2.0494,1.5805,0.8060,1.0450
phr_48.45_id44_voxel_output,48.45,44,0.198475,True,1.5803,1.2779,2.0516,1.5816,0.7703,0.9992
phr_48.57_id85_voxel_output,48.57,85,0.198887,True,1.6502,1.3416,2.0550,1.5831,0.8031,1.0424
phr_49.33_id93_voxel_output,49.33,93,0.201374,True,1.6227,1.3121,2.0752,1.5921,0.7819,1.0192
phr_49.39_id102_voxel_output,49.39,102,0.201550,True,1.5997,1.2936,2.0767,1.5928,0.7703,1.0044
phr_50.12_id73_voxel_output,50.12,73,0.203934,True,1.6296,1.3248,2.0962,1.6015,0.7774,1.0176
phr_50.14_id65_voxel_output,50.14,65,0.204006,True,1.6271,1.3157,2.0968,1.6018,0.7760,1.0158
phr_50.27_id96_voxel_output,50.27,96,0.204402,True,1.6208,1.3091,2.1001,1.6032,0.7718,1.0110
phr_50.34_id108_voxel_output,50.34,108,0.204634,True,1.6174,1.3079,2.1020,1.6041,0.7695,1.0083
phr_50.95_id116_voxel_output,50.95,116,0.206617,True,1.6474,1.3321,2.1185,1.6114,0.7777,1.0224
phr_51.10_id118_voxel_output,51.10,118,0.207077,True,1.6655,1.3540,2.1223,1.6131,0.7847,1.0325
phr_52.20_id105_voxel_output,52.20,105,0.210608,True,1.7284,1.3960,2.1519,1.6262,0.8032,1.0628
phr_52.83_id113_voxel_output,52.83,113,0.212596,True,1.6978,1.3729,2.1688,1.6337,0.7828,1.0392
phr_53.42_id70_voxel_output,53.42,70,0.214476,True,1.6828,1.3607,2.1848,1.6408,0.7702,1.0256
phr_54.00_id89_voxel_output,54.00,89,0.216295,True,1.7340,1.4021,2.2004,1.6476,0.7880,1.0524
phr_54.01_id76_voxel_output,54.01,76,0.216319,True,1.7296,1.3986,2.2006,1.6477,0.7860,1.0497
phr_54.63_id66_voxel_output,54.63,66,0.218259,True,1.7066,1.3800,2.2173,1.6551,0.7697,1.0311
phr_54.74_id111_voxel_output,54.74,111,0.218615,True,1.7172,1.3886,2.2204,1.6565,0.7734,1.0367
phr_54.94_id98_voxel_output,54.94,98,0.219239,True,1.7216,1.3921,2.2258,1.6588,0.7735,1.0379
phr_55.09_id97_voxel_output,55.09,97,0.219695,True,1.7446,1.4107,2.2298,1.6606,0.7824,1.0506
phr_55.09_id91_voxel_output,55.09,91,0.219723,True,1.7296,1.3986,2.2300,1.6607,0.7756,1.0415
phr_55.16_id110_voxel_output,55.16,110,0.219911,True,1.7296,1.3986,2.2317,1.6614,0.7750,1.0410
phr_55.27_id109_voxel_output,55.27,109,0.220259,True,1.7544,1.4263,2.2347,1.6627,0.7851,1.0552
phr_56.06_id103_voxel_output,56.06,103,0.222710,True,1.7543,1.4186,2.2561,1.6721,0.7776,1.0491
phr_56.92_id112_voxel_output,56.92,112,0.225350,True,1.7489,1.4125,2.2794,1.6823,0.7672,1.0395
phr_57.04_id90_voxel_output,57.04,90,0.225734,True,1.7464,1.4121,2.2828,1.6838,0.7650,1.0371
phr_57.48_id69_voxel_output,57.48,69,0.227061,True,1.7199,1.3907,2.2946,1.6890,0.7495,1.0183
phr_58.06_id82_voxel_output,58.06,82,0.228841,True,1.7870,1.4450,2.3105,1.6959,0.7734,1.0537
phr_58.25_id100_voxel_output,58.25,100,0.229425,True,1.7688,1.4380,2.3157,1.6982,0.7638,1.0416
phr_59.11_id95_voxel_output,59.11,95,0.232008,True,1.7322,1.4007,2.3390,1.7084,0.7406,1.0140
phr_59.52_id107_voxel_output,59.52,107,0.233268,True,1.8859,1.5250,2.3504,1.7133,0.8024,1.1007
phr_60.40_id115_voxel_output,60.40,115,0.235892,True,1.8665,1.5093,2.3743,1.7237,0.7861,1.0828
phr_60.41_id61_voxel_output,60.41,61,0.235908,True,1.7402,1.4071,2.3745,1.7238,0.7329,1.0095
phr_62.24_id64_voxel_output,62.24,64,0.241327,True,1.8586,1.5029,2.4245,1.7455,0.7666,1.0648
phr_62.57_id120_voxel_output,62.57,120,0.242310,True,1.8704,1.5206,2.4336,1.7495,0.7686,1.0691
phr_62.85_id119_voxel_output,62.85,119,0.243126,True,1.8665,1.5093,2.4413,1.7528,0.7646,1.0649
phr_63.06_id92_voxel_output,63.06,92,0.243738,True,1.9311,1.5597,2.4470,1.7553,0.7892,1.1002
phr_63.11_id114_voxel_output,63.11,114,0.243902,True,1.9584,1.5921,2.4485,1.7559,0.7998,1.1153
phr_71.03_id117_voxel_output,71.03,117,0.266334,True,2.0432,1.6521,2.6660,1.8497,0.7664,1.1046
phr_71.51_id101_voxel_output,71.51,101,0.267658,True,2.1801,1.7629,2.6793,1.8554,0.8137,1.1750
phr_73.91_id106_voxel_output,73.91,106,0.274188,True,2.0467,1.6550,2.7455,1.8839,0.7455,1.0864
phr_74.26_id104_voxel_output,74.26,104,0.275136,True,2.2428,1.8136,2.7552,1.8881,0.8140,1.1879
